age,income_inr,employment_years,marital_status,education_level,credit_history_length,outstanding_loans,loan_amount,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_credit_limit,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,max_credit_exposure,oldest_trade_open_months,newest_trade_open_months,default,month,log_income_inr,log_loan_amount,log_savings_account_balance,log_checking_account_balance,log_total_credit_limit,log_total_current_balance,log_max_credit_exposure
29,109588,5,1,1,12,4,150738,36,214021,26048,1,9,83527,54292,0.65,2,2,87038,154,16,1,2024-10,11.604492283495649,11.923305143436224,12.273834092458364,10.167734658728754,11.332937183969946,10.902150584168144,11.374111573053183
61,514913,23,2,2,19,3,2206668,120,856926,122936,3,8,1011986,364314,0.36,1,1,1368240,232,124,1,2025-01,13.15175517541018,14.606994696646336,13.661108013088343,11.719427308015874,13.827426282897237,12.805774157004882,14.129036531239237
55,243462,26,0,1,25,1,308342,36,486223,65074,7,5,208586,106378,0.51,1,2,258914,303,64,0,2025-06,12.402720259240416,12.63896807868636,13.09442470204818,11.083295729862765,12.248111499376718,11.574763467988918,12.464255101488899
39,100000,12,1,0,11,4,302834,84,119723,26940,3,6,124405,29857,0.24,0,2,132731,132,65,0,2024-12,11.51293546492023,12.620943381712435,11.692944372701508,10.201404568800312,11.731305689635368,10.304208089613535,11.796087336690254
68,323127,30,0,1,30,0,273992,180,145039,153868,7,3,665290,226198,0.34,3,3,753344,368,269,0,2023-04,12.68580380853442,12.52085783759861,11.884764845428732,11.94385687003765,13.407979817906629,12.329170421787895,13.532278569186104
36,122777,13,1,1,19,1,585995,84,126729,40726,4,0,284298,164892,0.58,1,3,290699,229,40,0,2024-03,11.718133125550883,13.281068242597286,11.74981411807611,10.614646542147758,12.55778178022172,12.013052057676987,12.580047086546967
23,186759,0,0,1,5,1,600413,36,268310,28607,5,4,111674,51370,0.46,3,5,131788,70,32,0,2025-07,12.137579649084874,13.30537469625773,12.499902034455133,10.26144167797324,11.62334814622032,10.846829089886597,11.788957437780025
40,215947,10,1,1,12,0,985622,60,336877,59415,7,1,394612,146006,0.37,1,1,445005,148,67,1,2025-12,12.282792916942858,13.801029207528073,12.72747612598608,10.992318829349133,12.885660816782167,11.891409844746619,13.005843044203548
44,100000,16,0,0,14,1,229045,240,5099,32106,6,7,191328,36352,0.19,4,4,227881,174,14,1,2024-05,11.51293546492023,12.34167813572647,8.536995818712418,10.376829353880446,12.161749738293498,10.50103201050528,12.336583230104878
53,179607,23,2,1,21,3,745014,180,185857,58747,5,3,125198,33803,0.27,0,2,161526,259,120,0,2024-06,12.09853197728805,13.521159631387194,12.132738220265743,10.981012388873753,11.73765975039579,10.428334417664374,11.992427590333923
44,108353,17,0,0,19,3,470408,84,55119,32605,3,0,189804,74023,0.39,4,6,259304,238,58,0,2024-02,11.593158923680399,13.061357808036588,10.91726790568754,10.3922515994996,12.153752508330474,11.212144643928866,12.465760254024996
31,100662,5,1,0,12,4,368752,240,176770,10601,5,9,229972,43694,0.19,0,1,299579,153,92,1,2023-02,11.519533583184474,12.817882322196294,12.082610388582435,9.268797941547751,12.345717189710086,10.684988958061645,12.61013677272271
69,307715,40,3,1,30,4,282563,24,107135,11116,7,6,194804,35064,0.18,0,1,260879,363,46,0,2025-02,12.63693255865828,12.551660352582923,11.581854334409092,9.316230747233615,12.1797543372123,10.46495876097101,12.4718158104632
28,100000,3,1,1,7,1,57236,240,134958,18216,6,1,240066,105629,0.44,0,1,343971,93,90,1,2024-02,11.51293546492023,10.954955821395421,11.812726307589553,9.81011050303083,12.388673330031033,11.567697700817208,12.748315537693918
56,344560,28,1,2,27,0,433635,84,195993,77598,6,2,668813,294277,0.44,2,2,961025,324,110,0,2025-05,12.750026421975928,12.979960751491378,12.185839325499192,11.259309819490339,13.41326127354789,12.592280177774635,13.77575674273733
58,238072,31,2,1,27,3,245555,240,177424,11824,2,8,614956,159888,0.26,2,2,879608,330,219,0,2023-11,12.3803326283129,12.411280306110829,12.086303263393184,9.377971213360134,13.329307625645042,11.982235103460077,13.687232769533999
60,363877,33,0,1,30,2,1369312,48,685577,149620,5,8,380308,57046,0.15,1,2,409433,371,121,0,2023-11,12.804573925603426,14.129819712177252,13.438017557069408,11.91586070900251,12.848739359163542,10.9516307684562,12.922530997124461
40,195194,9,0,1,13,4,586856,60,101281,36141,2,1,504222,262195,0.52,2,3,567519,165,33,1,2024-10,12.181754337878967,13.282536457547785,11.525663984418417,10.495210902958108,13.130773909514264,12.47684759466524,13.249031270007448
55,100000,27,3,0,22,3,286677,24,23525,45854,3,2,73640,25774,0.35,3,4,92135,274,46,0,2023-09,11.51293546492023,12.566114913663819,10.065861471520387,10.733239522993044,11.20695721483113,10.15716030888516,11.431021025348743
68,343590,25,0,2,24,1,562767,36,63600,32337,3,8,518674,72614,0.14,0,0,611708,298,54,0,2023-07,12.747207275501225,13.24062274404154,11.060384472475045,10.38399828829976,13.15903276176134,11.192926791041904,13.324011958217074
45,185598,11,2,1,14,3,221925,12,191908,8784,3,0,185358,126043,0.68,0,0,197560,176,66,0,2023-08,12.131343711388688,12.31009927195318,12.164776580322833,9.080801000621198,12.130049764184498,11.744386331324476,12.193802676395142
55,331023,25,0,2,26,3,473186,48,430772,83256,4,1,890469,365092,0.41,0,0,1018585,312,54,0,2023-03,12.709946159283524,13.06724593818152,12.97333654820556,11.329687488391906,13.69950469220557,12.807907394630565,13.83392594898319
45,100000,24,1,0,22,1,230124,24,68822,11078,5,1,226229,33934,0.15,1,3,336564,264,4,1,2025-03,11.51293546492023,12.34637791853538,11.139293270380444,9.312806703520673,12.329307459864802,10.43220220913786,12.726546574346111
49,244197,19,1,1,21,4,935431,24,340900,114760,1,9,137581,22012,0.16,2,3,161446,258,240,0,2025-11,12.405734650617013,13.748763733652428,12.739347391533249,11.65060698389491,11.831975381971,9.99938846691333,11.99193219440957
38,179930,12,3,1,15,4,296043,12,30411,4488,6,2,94248,16022,0.17,0,0,113988,188,80,1,2025-02,12.10032872304801,12.59826337090773,10.322592546348327,8.409385238781931,11.453695495174394,9.68178046900788,11.643857231492984
66,539969,28,1,2,30,2,1967516,24,929720,117744,1,9,663148,225470,0.34,1,2,665270,364,201,0,2023-05,13.199268861441634,14.492282899642975,13.742639820120436,11.676276548132082,13.404754979966903,12.325946826550569,13.40794975542175
38,118680,11,0,0,17,2,321836,48,194908,55167,3,2,101852,16296,0.16,0,2,138488,207,202,0,2025-12,11.684194500388807,12.681800485178286,12.180288061956439,10.918138354023364,11.53128587630216,9.69873632077599,11.838546179072734
22,119466,0,1,1,2,4,535743,84,235553,24433,7,9,247982,86793,0.35,1,3,299258,29,7,1,2024-01,11.690795461589481,13.19141171401973,12.369695465516585,10.103730883964005,12.421115474410474,11.371292773835275,12.60906469815594
55,349990,26,0,2,24,4,541824,120,656645,22641,7,1,755800,272088,0.36,0,0,794776,296,73,0,2024-05,12.765662718849264,13.202698350056602,13.394900339469586,10.027561867638054,13.535533392998,12.513884497640317,13.585816851143449
36,280958,9,1,1,16,4,710502,120,209196,46467,5,7,802100,104273,0.13,1,1,1190539,193,183,0,2025-07,12.545964030197043,13.473728448888984,12.251031670725913,10.746519182633365,13.594989814081579,11.554777328992788,13.989917543672624
61,372602,35,2,1,30,4,348379,120,308733,96520,7,7,1073130,236088,0.22,3,4,1490273,364,176,0,2024-12,12.828268788647003,12.761049117031453,12.640235343719176,11.477515880232335,13.886091101765597,12.371964131560452,14.214470553632916
56,100000,32,1,0,30,3,200818,48,150463,10887,2,7,214724,42944,0.2,2,3,292684,363,219,0,2024-03,11.51293546492023,12.210159283837323,11.92147913189974,9.295416544331301,12.277113418634425,10.667675506200325,12.586852224356214
53,404571,27,1,2,24,2,1125096,60,126008,98694,1,1,208025,52006,0.25,4,5,307655,290,224,0,2025-05,12.910584997168815,13.933379812125958,11.744108611954145,11.499789565577087,12.245418350871606,10.859133603888342,12.63673755466008
24,100000,0,0,0,3,1,379733,36,66232,42144,7,8,139749,18167,0.13,1,2,168221,40,23,1,2023-11,11.51293546492023,12.847226286588175,11.100934107146502,10.648871332431582,11.847610391017346,9.807417083785394,12.033039814638476
53,287947,28,1,1,30,0,400634,12,80957,126367,3,6,513367,87272,0.17,0,0,697802,366,283,0,2025-03,12.570535187260411,12.900806067343991,11.301685780658842,11.746953564086375,13.14874821590902,11.376796415640765,13.455692106951709
34,458560,6,1,2,12,1,679317,180,429683,20013,1,4,801539,112215,0.14,3,6,884180,154,25,0,2024-12,13.035848604359273,13.428844632693782,12.970805333789407,9.904187307650401,13.594290156211914,11.628180864399507,13.69241707179235
41,100000,13,1,0,11,0,334210,120,112640,9723,1,6,200835,58242,0.29,1,3,270838,134,93,1,2024-04,11.51293546492023,12.719527809024264,11.63196104919337,9.182352335436015,12.210243933598985,10.972379192532934,12.50927982737596
68,170358,40,0,1,30,3,378375,240,78665,25918,6,7,494273,113682,0.23,0,1,497752,362,152,0,2025-02,12.045663254097406,12.843643689201267,11.272966320727457,10.16273156947506,13.110845298275793,11.641169152289066,13.117859249030328
40,100000,9,1,0,10,2,266942,48,10193,30553,1,8,271298,146500,0.54,3,4,288431,125,80,0,2024-01,11.51293546492023,12.494790431445548,9.229554590899987,10.327250888925668,12.510976812683724,11.89478753335453,12.572214635241819
28,257397,4,0,1,5,0,1097182,60,373931,49749,3,1,198780,103365,0.52,2,2,241046,64,16,1,2024-09,12.458378804106207,13.908256543940864,12.831829241683922,10.814765742586738,12.199958995196534,11.546031366867224,12.392747214205606
27,302774,2,1,2,4,4,831379,60,26949,128721,6,5,352716,102287,0.29,1,1,354848,50,28,0,2024-11,12.62074523438925,13.63084224970185,10.201738576337144,11.765410319146552,12.773421314665642,11.535547643006508,12.779447625857006
23,266697,4,0,2,11,3,916436,120,519561,97078,3,8,688817,289303,0.42,1,1,847921,132,20,0,2025-04,12.49387221107937,13.728248604128343,13.160741427924851,11.483280359004624,13.442732364158394,12.575233317346346,13.650543929411441
37,174764,15,2,1,18,0,603894,240,84259,11922,4,5,447529,152159,0.34,2,3,564511,225,53,0,2025-10,12.07119749332215,13.311155620745241,11.341662535533008,9.386224586806131,13.011498853556171,11.932687877779218,13.243716920096132
53,300012,22,0,1,24,4,1234925,180,403397,95940,7,1,356542,46350,0.13,3,3,467356,289,83,0,2025-11,12.61158108603281,14.026521607220658,12.907678946631753,11.471488698182888,12.784210128673628,10.743998145734295,13.054848698566389
68,116732,33,1,0,30,3,393576,120,104798,8666,4,0,271573,57030,0.21,0,0,285204,362,74,0,2024-06,11.667644554650565,12.883032007493497,11.559799508838822,9.067277989134345,12.511989941071109,10.95135025862775,12.560963498925405
32,100000,4,0,0,4,0,79164,12,16636,14241,7,2,218009,54502,0.25,1,1,237740,51,26,1,2024-09,11.51293546492023,11.279289560935535,9.719384409659742,9.56395062454207,12.29229621227879,10.906011025007926,12.378937124801533
42,100000,13,1,0,13,4,203977,84,97075,10537,4,4,168380,53881,0.32,1,1,220012,160,130,1,2025-04,11.51293546492023,12.22576742387361,11.483249455860227,9.262743050769231,12.033984547821637,10.894551749360257,12.30144191449779
42,100000,12,0,0,10,2,495192,240,105768,10306,1,6,100363,26094,0.26,1,1,133391,129,3,1,2023-10,11.51293546492023,13.112702864549867,11.56901274980071,9.240578555036793,11.51655885620265,10.169499004077514,11.801047440650395
66,330077,40,1,1,30,3,456924,120,566620,104261,5,9,898340,350352,0.39,0,1,909973,368,359,0,2025-11,12.707084269149544,13.032274542622643,13.247445928875635,11.554662240950309,13.708305007943528,12.766696496627725,13.72117130665629
50,211285,14,0,1,20,0,663494,12,312296,61384,3,9,463691,69553,0.15,3,5,588972,243,184,0,2024-04,12.260967944901752,13.405276596930978,12.651709937077095,11.02492078461494,13.04697581769676,11.14985870827868,13.28613562117555
58,238164,31,1,1,29,4,1022493,240,48737,24886,4,2,219702,125230,0.57,4,4,305933,359,66,0,2024-03,12.380718989758835,13.837755298911217,10.794214292279008,10.122100857763806,12.300031913263542,11.73791531083323,12.631124671396378
58,161856,27,0,0,25,2,508149,36,74108,80164,5,8,366119,124480,0.34,0,1,378768,308,153,0,2023-10,11.994468508341907,13.138531958565913,11.213292261398694,11.291842289622938,12.810716427498715,11.731908372798975,12.844681799563995
65,225784,27,0,1,30,4,491129,240,148606,50232,4,9,531401,217874,0.41,3,3,641181,364,196,0,2023-07,12.327338498021655,13.104464137516498,11.909060516482034,10.824427460224394,13.183274075943974,12.291676782822321,13.371068626959183
28,271186,6,1,2,13,2,233498,48,75117,18059,7,3,736866,51580,0.07,3,3,857163,158,15,0,2025-12,12.510563898796208,12.360933073426672,11.22681548945956,9.801454826970977,13.510162693556653,10.850908666606845,13.661384544499466
47,155381,19,0,1,18,0,330571,240,146206,12100,4,9,164252,54203,0.33,0,0,239287,222,210,0,2025-11,11.953641880091029,12.708579766287421,11.892778704768586,9.401043372798053,12.00916320102024,10.900509985442605,12.385423126379175
47,431940,20,0,2,21,4,569860,180,850663,129698,5,1,1283676,744532,0.58,0,0,1402931,259,135,0,2024-10,12.976044283825086,13.253147750423011,13.653772499977556,11.772971660174582,14.065239173953715,13.520512455174243,14.154074890340514
54,395685,18,2,2,17,4,1908738,120,416852,193867,4,2,349581,55932,0.16,2,3,405227,212,128,0,2025-12,12.888376246408976,14.461953372564516,12.940488920646256,12.174932794088779,12.764493434023807,10.93190982485381,12.912205150647438
41,100000,9,3,0,9,1,371764,48,149667,29453,1,4,200172,64055,0.32,0,2,290093,116,91,0,2023-06,11.51293546492023,12.826017213205752,11.916174786702568,10.290585003286107,12.206937271633272,11.06751297975247,12.577960287372342
50,441228,13,1,2,11,3,1708533,240,609657,209821,1,2,945525,274202,0.29,1,1,1101845,137,82,0,2024-12,12.997319294029117,14.351146250836983,13.320653423185592,12.25401483121984,13.759496665380516,12.521623986969537,13.912497513013111
53,215667,15,0,1,14,4,530942,48,368214,50290,6,4,333719,83429,0.25,2,3,422379,176,71,1,2024-01,12.281495467176034,13.18240994982946,12.816422285680266,10.825581413637233,12.718057597016012,11.331763235896121,12.953660661768366
48,181699,17,0,1,21,2,180761,12,85518,41646,1,3,306634,82791,0.27,1,1,311698,254,248,0,2024-12,12.110112254384262,12.104936527858783,11.356493852459373,10.636984616189265,12.633413394155777,11.32408671734801,12.649793257537256
67,279259,27,1,1,29,3,474802,84,424462,72608,2,9,761616,68545,0.09,1,3,1136674,349,297,0,2025-11,12.539898526496186,13.070655260147563,12.958580119568452,11.19284416007177,13.543199083638745,11.135260331719744,13.943617891943015
53,337723,19,0,1,18,0,563558,48,597311,119812,6,2,713671,271194,0.38,2,2,1008041,220,126,0,2024-02,12.729984272844527,13.242027309731682,13.300194868925418,11.693687472966564,13.478178752019177,12.510593398300252,13.823520393412085
25,141302,0,2,1,7,3,380174,36,54322,27759,4,5,246219,39395,0.16,0,1,324319,90,60,1,2023-09,11.85866179986974,12.84838695200866,10.90270298898443,10.231351414620741,12.413980724201606,10.581419567289593,12.689485961685827
68,328520,26,0,1,27,1,845744,60,238592,142796,2,7,269673,99779,0.37,0,0,277865,334,172,0,2024-10,12.702356041804201,13.647973174712975,12.382514450411735,11.86917932026358,12.504969101069516,11.510723041415028,12.534894262078007
39,250624,10,3,1,10,0,614113,36,486636,8535,3,3,129909,58459,0.45,1,1,134772,126,123,0,2025-01,12.431713077042971,13.3279358576476,13.09527374425423,9.05204779298159,11.774597181989778,10.976098038665237,11.811347160662368
24,188596,1,1,1,9,4,515225,240,296574,43582,5,8,153219,26047,0.17,2,3,194969,118,33,0,2025-01,12.147367742374175,13.152360918337433,12.600055416529305,10.682422445046257,11.939630076070811,10.167696268802267,12.180600979556504
55,331264,13,1,1,13,0,1636975,84,199106,87876,3,5,957505,296826,0.31,2,2,1093980,161,151,1,2023-07,12.710673938276193,14.308361195280618,12.201597647646206,11.383693388455677,13.772087266335843,12.600904756488216,13.905333894354381
69,254573,38,0,1,30,0,469074,36,292679,79267,2,4,613576,411095,0.67,0,3,804640,362,64,0,2023-11,12.447346838916664,13.058517949355576,12.586835140997966,11.280589795287103,13.327061044629914,12.926582042845931,13.598151494196827
37,100000,9,2,0,10,1,326871,60,83843,15251,1,2,291779,93369,0.32,0,0,379049,125,6,0,2025-07,11.51293546492023,12.69732393593894,11.33671320834045,9.632465920977454,12.583755372625886,11.444325373477971,12.84542340148445
64,100000,38,0,0,30,2,157778,180,100543,22519,7,4,58927,15321,0.26,1,2,83636,360,63,0,2023-05,11.51293546492023,11.968950598690094,11.518350721615294,10.022159082253626,10.984071638684847,9.637044983076766,11.334241284893558
48,375331,15,1,2,20,0,975758,180,278711,94800,4,4,825935,156927,0.19,0,1,942134,242,126,0,2024-07,12.835566246609485,13.79097090867442,12.537934269593704,11.459535236710686,13.624272567661048,11.963542380415774,13.755903855392212
50,183177,28,2,1,27,2,256488,84,108934,64060,6,3,111872,31324,0.28,1,3,144195,325,8,0,2025-04,12.118213636674861,12.45484105768312,11.598506653060435,11.067591033406591,11.625119578322387,10.35217177976427,11.878928764197205
49,100000,21,0,0,19,3,301186,60,136578,39130,7,5,245514,22096,0.09,2,2,340940,231,165,0,2023-09,11.51293546492023,12.615486613285855,11.824658480772067,10.574670270717423,12.41111332414653,10.003197131685106,12.739464720768016
66,142619,22,1,0,22,1,241390,60,223648,53361,7,2,207136,66283,0.32,3,4,257964,271,93,0,2024-03,11.867939029582294,12.394173304431916,12.317833137578921,10.884854161146471,12.241135689079606,11.101703819749684,12.460579195786522
26,100000,5,1,0,12,4,66555,12,175421,18395,4,9,73941,19964,0.27,1,1,104650,146,28,0,2023-08,11.51293546492023,11.105798977535398,12.074949778648907,9.819888528659815,11.211036281083421,9.901736019497323,11.55838628349022
55,422468,25,0,2,27,0,1761150,24,149086,211122,1,0,811187,121678,0.15,0,1,864431,329,309,0,2023-07,12.953871350306386,14.381478130537111,11.912285307146078,12.260196181004249,13.606255118810232,11.709141708621955,13.669827922827844
61,248030,23,1,1,24,2,267165,48,410382,105997,4,6,297710,29771,0.1,1,2,406954,297,199,0,2025-06,12.42130901733527,12.495625467039249,12.92484614897879,11.571175504991674,12.603878496270848,10.301323633479802,12.916457893201395
57,435650,30,0,2,25,0,939337,84,238240,63087,5,6,936183,168512,0.18,0,0,1377584,300,124,0,2023-06,12.984596743077434,13.752930650822767,12.381038045356979,11.052285856117408,13.749567317336759,12.034768177133854,14.135842524094581
44,160188,22,1,1,18,1,424065,120,141495,18205,7,3,343673,44677,0.13,0,3,400702,219,55,0,2024-05,11.984109647089117,12.957644382477634,11.86002672711463,9.809506489065233,12.74744881260963,10.707236489423869,12.900975783494138
49,234711,15,1,1,13,4,574140,12,424314,40072,5,8,531038,185863,0.35,0,1,628307,160,143,0,2024-11,12.366114509633046,13.260630289735312,12.958231382910576,10.598458069806934,13.18259074385471,12.132770502455124,13.350785771080947
69,316164,29,1,1,30,3,1190514,180,296018,74970,5,1,942536,47126,0.05,2,2,981910,364,310,0,2023-04,12.664019508193915,13.989896544577684,12.598178920435348,11.22485665107695,13.756330454828186,10.76060136416805,13.79725595186477
66,295759,40,0,1,30,3,942138,12,128440,126698,3,0,433802,34704,0.08,1,1,572942,360,317,0,2024-08,12.597303593610514,13.755908101059244,11.763224933909672,11.749569473618257,12.980345792980321,10.454639047773684,13.258541514308977
51,117903,26,2,0,27,2,215664,240,42650,46408,1,2,196106,88247,0.45,1,1,250275,332,97,0,2025-12,11.67762601300678,12.281481556809796,10.660805999303808,10.745248684922709,12.18641570762078,11.387906311649218,12.430319587884537
55,366357,33,2,2,30,3,268416,48,356215,157019,5,6,920116,165620,0.18,5,6,938677,364,310,0,2023-03,12.811366276390766,12.500297020374921,12.783292567413953,11.964128464752246,13.73225611485235,12.017457324487589,13.752227781382707
53,468121,28,1,2,26,2,1851033,120,719600,70470,2,8,910928,364371,0.4,1,2,1253533,320,197,0,2025-10,13.05648422468836,14.431254959836423,13.486452170718472,11.162956556656031,13.722220236871202,12.805930602776842,14.041477320265287
41,322330,12,1,1,10,4,672500,84,642903,98265,5,1,191187,19118,0.1,1,1,270461,126,29,0,2025-08,12.683334246857978,13.418758877445873,13.373750691917857,11.49543336634568,12.161012516123575,9.858437883982404,12.507886886808853
52,299839,26,1,2,29,0,1350403,240,475378,46762,6,5,781889,406582,0.52,2,3,1136522,352,81,0,2025-10,12.611004278032194,14.11591436490475,13.071867659604836,10.752847570927493,13.569469344671568,12.915543369169507,13.94348415964145
43,296064,11,1,2,9,1,674361,24,521123,21414,3,2,186149,57706,0.31,0,4,236942,116,109,0,2023-03,12.598334303793429,13.421522337700297,13.163743296255856,9.971846890049472,12.134308079300864,10.963133762295572,12.37557488486187
53,251584,15,1,1,16,4,938273,120,379457,87655,2,4,233231,74633,0.32,6,6,286008,196,27,0,2025-05,12.435536183589202,13.751797296206487,12.846499197756472,11.381175342085228,12.359788945313793,11.22035144643802,12.563778557838335
23,100000,3,0,0,5,4,472804,60,179609,8863,7,8,75519,18879,0.25,1,2,108601,69,68,1,2023-07,11.51293546492023,13.066438320314216,12.098543112587507,9.089753408987065,11.232152800819382,9.84585843969949,11.595445102518658
38,317784,10,1,1,15,3,1090058,120,63166,108203,1,2,220801,28704,0.13,4,6,264817,188,140,1,2023-06,12.669130332474282,13.901742381180803,11.053537291867439,11.591773613287907,12.30502165131507,10.264826602601737,12.486798076565554
45,238187,10,0,1,13,3,562288,12,443829,78845,1,0,134388,29565,0.22,1,1,178429,160,126,0,2024-06,12.380815556800577,13.23977123157783,13.003196885213113,11.275251861871693,11.808493858483587,10.294380331461035,12.091951646425475
62,209552,37,0,0,30,1,639824,240,172459,85689,6,4,133603,52105,0.39,1,1,174710,360,279,1,2023-08,12.252731969643008,13.368949980445006,12.057920604506316,11.358491411663165,11.802635479756246,10.861035384258484,12.07088845922293
51,100000,16,1,0,16,0,294550,12,184714,8698,7,0,160609,27303,0.17,3,4,190495,198,50,1,2025-08,11.51293546492023,12.593207441953407,12.126569375667229,9.07096335550754,11.986734345056943,10.214788490586542,12.157386475953116
23,357850,0,1,2,1,4,1120675,60,70739,141733,5,7,405132,24307,0.06,0,1,422732,16,11,0,2024-12,12.787871977629795,13.929442632623875,11.166766462759472,11.86170734043962,12.911970687240549,10.098560793255245,12.954496053060486
60,100000,34,1,0,30,3,116068,180,144472,49965,2,6,81634,20408,0.25,0,0,82508,364,204,0,2024-01,11.51293546492023,11.661940120834903,11.880847917864688,10.819098053105419,11.310013370560265,9.92373125901317,11.320662657281883
66,244107,31,1,1,28,4,889353,12,362399,104599,6,1,524040,94327,0.18,2,3,636246,341,201,0,2023-05,12.405366029297516,13.698250635460344,12.80050385315096,11.55789883061296,13.169325204517065,11.45453334925651,13.363342131708052
44,357098,11,2,2,16,0,411624,120,712044,136007,2,8,380409,136947,0.36,0,2,471935,197,88,0,2025-10,12.78576833324258,12.927868019678666,13.475896390644126,11.820468986517565,12.849004897425617,11.827356570714562,13.064598662153761
52,310524,17,1,2,15,2,175687,24,481084,104907,5,4,169972,56090,0.33,1,1,239888,186,155,0,2025-06,12.646019692412395,12.076464973607129,13.083799248652326,11.560839054584227,12.043394879889195,10.934730650833384,12.387931595338015
67,317567,40,1,1,30,0,1051626,120,252789,70644,7,6,490974,54007,0.11,0,1,592706,371,315,0,2023-07,12.668447247611418,13.86584904666992,12.440314383510417,11.165422614199908,13.104148488983423,10.896887462721706,13.292455458065561
42,377442,11,0,2,9,4,387297,120,429013,139895,5,3,481647,183025,0.38,2,2,549356,115,9,0,2023-11,12.841174842893086,12.86694970153392,12.96924483141031,11.848654568393496,13.084968835784332,12.11738349823438,13.216503782379691
43,100000,15,0,0,16,4,396685,240,76477,36760,4,0,129651,47970,0.37,3,4,159606,192,33,1,2025-02,11.51293546492023,12.89090031472767,11.244758396755735,10.51219277958166,11.772609216995148,10.778351940641137,11.980469822685162
22,100000,1,0,0,3,1,439684,84,43223,32311,4,7,161317,69366,0.43,0,0,180512,45,6,1,2023-05,11.51293546492023,12.993813840418248,10.674151175523901,10.383193957243249,11.991132851191633,11.147166529084098,12.103558076322265
47,321886,18,1,1,19,4,1529381,48,172073,129466,5,0,699228,279691,0.4,0,1,731168,238,179,1,2025-10,12.681955831258596,14.2403742902017,12.05567989583024,11.771181301393176,13.457733578435898,12.541444276707354,13.50239990216207
62,254177,24,1,1,24,3,887114,120,122747,59834,3,2,518825,202341,0.39,1,2,548149,290,168,0,2023-07,12.445790087965417,13.695729903395144,11.717888752245008,10.999346053007617,13.159323845820182,12.2177146140641,13.214304251102686
22,184641,0,0,1,5,1,492819,120,206832,14439,6,5,524962,257231,0.49,3,4,608733,65,6,1,2025-09,12.126174094132288,13.107899274793507,12.239666983353844,9.577757412446818,13.17108306289972,12.457733680402741,13.319136669665966
46,245579,19,1,1,19,4,512097,48,446220,70813,4,7,440640,237945,0.54,1,1,443432,228,132,1,2023-08,12.411378038714505,13.146271291955806,13.008569623969906,11.167812000246807,12.995985763946141,12.379799036153708,13.002301998293465
37,100000,16,0,0,20,0,270916,24,182981,14722,5,7,168142,52124,0.31,1,1,186654,244,3,1,2025-11,11.51293546492023,12.509567779887934,12.117143066330094,9.597166175865409,12.032570086804412,10.861399959101103,12.137017272090016
60,143555,22,0,0,20,4,194744,240,22507,29361,2,1,148369,51929,0.35,0,0,206791,244,141,0,2023-08,11.874480481958905,12.179446289462463,10.021626080553169,10.287456600299405,11.90746443294484,10.857651936838364,12.239468736148602
53,344430,21,2,1,20,0,712247,180,70885,9767,6,8,822654,148077,0.18,0,0,919158,249,26,0,2025-04,12.749649059099312,13.476181444353404,11.168828231809211,9.18686701579054,13.620292193715246,11.905494440943311,13.731214400518413
29,299419,4,1,2,4,0,1117038,60,158087,61003,7,3,255086,25508,0.1,0,1,269208,56,34,1,2024-12,12.609602549003828,13.926191992392585,11.970907118988638,11.018694714776075,12.449359942423694,10.146786610053903,12.503243308586134
63,187455,30,0,1,30,4,277134,60,102606,76523,4,3,323890,116600,0.36,1,1,477588,370,205,0,2023-10,12.141299430187406,12.53226003106685,11.538661435512369,11.245359696103272,12.68816231841956,11.666513129191083,13.076505808969497
68,252127,38,1,1,30,0,425666,12,59258,70723,7,1,391630,137070,0.35,2,3,513518,361,181,1,2023-06,12.437692174045415,12.961412629431617,10.98967294619611,11.16654025679798,12.878075348915937,11.828254318741239,13.14904230863994
59,312436,21,1,1,18,2,1209745,240,252293,7718,3,0,670410,214531,0.32,2,2,690530,222,47,0,2023-07,12.652158127834582,14.00592097818182,12.43835035313353,8.951440100949855,13.415646236129957,12.276214190372544,13.445216145827354
49,100000,18,1,0,21,1,130026,180,119606,24552,6,9,279405,136908,0.49,2,2,288100,260,136,0,2024-12,11.51293546492023,11.77549740018035,11.69196664721404,10.108589325349573,12.540421200162827,11.827071750532761,12.571066392083603
62,100000,37,0,0,30,4,160649,60,117741,15989,6,6,286648,17198,0.06,1,2,374379,367,233,0,2023-08,11.51293546492023,11.986983364544004,11.676251069018583,9.679718805828,12.566013749755527,9.752606521576492,12.83302660335532
46,313410,14,1,2,14,2,181453,84,347787,78109,1,9,288179,112389,0.39,1,2,366005,168,32,0,2025-05,12.655270707203229,12.108757457038633,12.759348377719398,11.265873368604343,12.571340563886926,11.629730244512313,12.810405005691756
55,268277,28,0,1,28,0,1003418,180,190586,57479,2,2,309737,34071,0.11,0,1,320326,336,277,0,2024-04,12.499779035288018,13.818923726471908,12.157864062209809,10.959192340192962,12.643482057820844,10.43623121160305,12.67709762801707
45,113670,11,2,0,14,0,372901,84,162273,53123,3,3,287481,106367,0.37,0,2,319724,179,151,1,2023-09,11.64106359003803,12.829070929520725,11.997041543504004,10.880384082520141,12.568915528563883,11.574660058775065,12.67521653030152
